Date	Value
Jan 1, 2007	27.21
Dec 1, 2006	27.28
Nov 1, 2006	26.93
Oct 1, 2006	26.54
Sep 1, 2006	25.64
Aug 1, 2006	25.05
Jul 1, 2006	24.7
Jun 1, 2006	24.75
May 1, 2006	25.65
Apr 1, 2006	26.15
Mar 1, 2006	26.33
Feb 1, 2006	26.25
Jan 1, 2006	26.47
Dec 1, 2005	26.44
Nov 1, 2005	25.93
Oct 1, 2005	24.88
Sep 1, 2005	25.73
Aug 1, 2005	26.1
Jul 1, 2005	26.29
Jun 1, 2005	26.07
May 1, 2005	25.65
Apr 1, 2005	25.41
Mar 1, 2005	26.34
Feb 1, 2005	26.74
Jan 1, 2005	26.59
Dec 1, 2004	27.14
Nov 1, 2004	26.47
Oct 1, 2004	25.41
Sep 1, 2004	25.67
Aug 1, 2004	25.17
Jul 1, 2004	25.7
Jun 1, 2004	26.4
May 1, 2004	25.9
Apr 1, 2004	26.9
Mar 1, 2004	26.89
Feb 1, 2004	27.65
Jan 1, 2004	27.66
Dec 1, 2003	26.64
Nov 1, 2003	25.95
Oct 1, 2003	25.68
Sep 1, 2003	25.24
Aug 1, 2003	24.64
Jul 1, 2003	24.87
Jun 1, 2003	24.83
May 1, 2003	23.59
Apr 1, 2003	22.43
Mar 1, 2003	21.31
Feb 1, 2003	21.21
Jan 1, 2003	22.9
